"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","145","191","1,947","13.4","59","0","16","4","18","0","0","17","439.5","25.9","100.0%"
"2","Davante Adams (LV)","123","169","1,553","12.6","59","0","11","0","0","0","0","16","344.3","21.5","100.0%"
"3","Deebo Samuel (SF)","77","121","1,405","18.2","83","0","6","59","365","8","2","16","339.0","21.2","98.8%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","0","10","6","14","0","1","17","330.4","19.4","99.9%"
"5","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","0","13","7","21","0","1","17","304.6","17.9","98.5%"
"6","Tyreek Hill (MIA)","111","159","1,239","11.2","75","0","9","9","96","0","1","17","296.5","17.4","100.0%"
"7","Stefon Diggs (BUF)","103","164","1,225","11.9","61","0","10","0","0","0","0","17","285.5","16.8","100.0%"
"8","Diontae Johnson (PIT)","107","169","1,161","10.9","50","0","8","5","53","0","2","16","274.4","17.2","98.1%"
"9","Mike Evans (TB)","74","114","1,035","14.0","46","0","14","1","10","0","0","16","262.5","16.4","97.8%"
"10","Hunter Renfrow (LV)","103","128","1,038","10.1","54","0","9","3","3","0","1","17","259.1","15.2","89.8%"
"11","Keenan Allen (LAC)","106","157","1,138","10.7","42","0","6","0","0","0","0","16","257.8","16.1","99.3%"
"12","Mike Williams (LAC)","76","129","1,146","15.1","72","0","9","0","0","0","0","16","246.6","15.4","91.9%"
"13","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","0","6","2","3","1","1","16","245.8","15.4","94.6%"
"14","D.K. Metcalf (SEA)","75","129","967","12.9","84","0","12","1","6","0","0","17","244.3","14.4","98.9%"
"15","Chris Godwin (TB)","98","127","1,103","11.3","44","0","5","4","21","1","2","14","242.4","17.3","67.1%"
"16","Tyler Lockett (SEA)","73","107","1,175","16.1","69","0","8","2","9","0","0","16","241.4","15.1","97.5%"
"17","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","0","6","5","44","0","0","17","238.6","14.0","92.6%"
"18","DJ Moore (CAR)","93","163","1,157","12.4","64","0","4","8","48","0","1","17","237.5","14.0","95.7%"
"19","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","0","6","9","76","0","0","16","232.8","14.6","99.7%"
"20","Brandin Cooks (HOU)","90","134","1,037","11.5","52","0","6","2","21","0","0","16","231.8","14.5","92.7%"
"21","Amon-Ra St. Brown (DET)","90","119","912","10.1","37","0","5","7","61","1","0","16","227.3","14.2","82.8%"
"22","Marquise Brown (BAL)","91","146","1,008","11.1","49","0","6","1","5","0","1","16","226.3","14.1","92.8%"
"23","Darnell Mooney (CHI)","81","140","1,055","13.0","64","0","4","6","32","1","0","17","219.7","12.9","76.3%"
"24","Tee Higgins (CIN)","74","110","1,091","14.7","54","0","6","0","0","0","1","14","219.1","15.7","95.2%"
"25","Terry McLaurin (WAS)","77","130","1,053","13.7","46","0","5","1","12","0","0","17","213.5","12.6","97.0%"
"26","Christian Kirk (JAC)","77","103","982","12.8","50","0","5","1","11","0","0","17","207.6","12.2","79.5%"
"27","Amari Cooper (CLE)","68","104","865","12.7","41","0","8","0","0","0","0","15","202.5","13.5","97.7%"
"28","Adam Thielen (MIN)","67","95","726","10.8","35","0","10","1","2","0","0","13","199.8","15.4","82.7%"
"29","Jakobi Meyers (NE)","83","126","866","10.4","39","0","2","1","9","0","1","16","186.3","11.6","66.5%"
"30","DeVonta Smith (PHI)","64","104","916","14.3","46","0","5","0","0","0","1","17","185.6","10.9","86.6%"
"31","Tyler Boyd (CIN)","67","94","828","12.4","68","0","5","2","22","0","0","16","183.8","11.5","71.3%"
"32","A.J. Brown (TEN)","63","105","869","13.8","57","0","5","2","10","0","0","13","180.9","13.9","97.8%"
"33","Kendrick Bourne (NE)","55","70","800","14.5","75","0","5","12","125","0","1","17","180.5","10.6","23.7%"
"34","Marvin Jones Jr. (JAC)","73","120","832","11.4","33","0","4","0","0","0","0","17","180.2","10.6","55.4%"
"35","Brandon Aiyuk (SF)","56","84","826","14.8","43","0","5","5","17","0","1","17","170.3","10.0","88.8%"
"36","Van Jefferson (LAR)","50","89","802","16.0","79","0","6","2","20","0","0","17","168.2","9.9","68.1%"
"37","Chase Claypool (PIT)","59","105","860","14.6","59","0","2","14","96","0","0","15","166.6","11.1","85.4%"
"38","Russell Gage (TB)","66","94","770","11.7","49","0","4","0","0","0","2","13","163.0","12.5","60.2%"
"39","Cole Beasley (FA)","82","112","693","8.5","29","0","1","0","0","0","0","16","159.3","10.0","63.2%"
"40","K.J. Osborn (MIN)","50","82","655","13.1","64","0","7","1","10","0","0","17","158.5","9.3","39.9%"
"41","A.J. Green (ARI)","54","92","848","15.7","42","0","3","0","0","0","0","16","156.8","9.8","51.8%"
"42","Tim Patrick (DEN)","53","85","734","13.8","44","0","5","0","0","0","0","16","156.4","9.8","17.6%"
"43","Marquez Callaway (NO)","46","84","698","15.2","58","0","6","0","0","0","0","17","151.8","8.9","28.6%"
"44","Courtland Sutton (DEN)","58","98","776","13.4","55","0","2","0","0","0","0","17","150.2","8.8","67.5%"
"45","Cedrick Wilson Jr. (MIA)","45","61","602","13.4","73","0","6","2","11","0","0","14","147.8","10.6","4.0%"
"46","DeAndre Hopkins (ARI)","42","64","572","13.6","55","0","8","0","0","0","0","10","147.2","14.7","69.3%"
"47","Allen Lazard (GB)","40","60","513","12.8","42","0","8","3","32","0","0","14","142.5","10.2","23.4%"
"48","Mecole Hardman (KC)","59","83","693","11.7","53","0","2","8","46","0","2","17","140.9","8.3","29.2%"
"49","Robby Anderson (CAR)","53","110","519","9.8","57","0","5","3","36","0","0","17","138.5","8.1","42.2%"
"50","Elijah Moore (NYJ)","43","77","538","12.5","62","0","5","5","54","1","0","11","138.2","12.6","49.1%"
"51","Robert Woods (TEN)","45","69","556","12.4","28","0","4","8","46","1","0","9","137.2","15.2","29.9%"
"52","Jarvis Landry (FA)","52","87","570","11.0","38","0","2","6","40","2","2","12","133.0","11.1","72.5%"
"53","Kalif Raymond (DET)","48","71","576","12.0","75","0","4","4","28","0","0","16","132.4","8.3","3.3%"
"54","Emmanuel Sanders (BUF)","42","72","626","14.9","41","0","4","2","31","0","0","14","131.7","9.4","46.6%"
"55","Odell Beckham Jr. (FA)","44","82","537","12.2","54","0","5","2","14","0","0","14","129.1","9.2","90.8%"
"56","Laviska Shenault Jr. (JAC)","63","100","619","9.8","58","0","0","11","41","0","1","16","127.0","7.9","34.3%"
"57","Byron Pringle (CHI)","42","60","568","13.5","40","0","5","0","0","0","1","16","126.8","7.9","2.7%"
"58","Gabriel Davis (BUF)","35","63","549","15.7","49","0","6","0","0","0","0","15","125.9","8.4","22.3%"
"59","Braxton Berrios (NYJ)","46","65","431","9.4","46","0","2","7","40","2","1","16","121.1","7.6","6.3%"
"60","Antonio Brown (FA)","42","62","545","13.0","62","0","4","1","6","0","0","7","121.1","17.3","84.1%"
"61","Quez Watkins (PHI)","43","62","647","15.0","91","0","1","1","3","0","0","17","116.0","6.8","1.3%"
"62","Deonte Harris (NO)","36","59","570","15.8","72","0","3","5","41","0","1","13","113.1","8.7","8.7%"
"63","Jamison Crowder (BUF)","51","71","447","8.8","29","0","2","0","0","0","1","12","109.7","9.1","23.6%"
"64","Donovan Peoples-Jones (CLE)","34","58","597","17.6","60","0","3","0","0","0","1","14","109.7","7.8","14.3%"
"65","Rondale Moore (ARI)","54","64","435","8.1","77","0","1","18","76","0","1","14","109.1","7.8","20.4%"
"66","Bryan Edwards (LV)","34","59","571","16.8","51","0","3","1","0","0","0","16","109.1","6.8","8.3%"
"67","Nick Westbrook-Ikhine (TEN)","38","57","476","12.5","46","0","4","0","0","0","1","15","107.6","7.2","8.5%"
"68","Zay Jones (JAC)","47","70","546","11.6","43","0","1","2","3","0","1","15","105.9","7.1","6.0%"
"69","Corey Davis (NYJ)","34","59","492","14.5","53","0","4","0","0","0","1","9","105.2","11.7","29.9%"
"70","Rashod Bateman (BAL)","46","68","515","11.2","36","0","1","0","0","0","0","12","103.5","8.6","29.1%"
"71","DeVante Parker (NE)","40","73","515","12.9","42","0","2","0","0","0","0","10","103.5","10.4","64.3%"
"72","Nelson Agholor (NE)","37","64","473","12.8","44","0","3","3","11","0","0","15","103.4","6.9","13.6%"
"73","Jalen Guyton (LAC)","31","48","448","14.5","59","0","3","7","34","0","0","16","97.2","6.1","7.1%"
"74","Zach Pascal (PHI)","38","69","384","10.1","41","0","3","2","21","0","1","16","94.5","5.9","3.5%"
"75","Randall Cobb (GB)","28","39","375","13.4","54","0","5","1","1","0","1","11","93.6","8.5","7.6%"
"76","Joshua Palmer (LAC)","33","49","353","10.7","36","0","4","1","6","0","0","15","92.9","6.2","5.4%"
"77","Michael Gallup (DAL)","35","62","445","12.7","41","0","2","0","0","0","0","9","91.5","10.2","72.8%"
"78","Olamide Zaccheaus (ATL)","31","53","406","13.1","49","0","3","1","2","0","0","15","89.8","6.0","0.8%"
"79","Kenny Golladay (NYG)","37","76","521","14.1","36","0","0","0","0","0","0","14","89.1","6.4","51.8%"
"80","Tre'Quan Smith (NO)","32","50","377","11.8","34","0","3","0","0","0","0","10","87.7","8.8","7.5%"
"81","Allen Robinson II (LAR)","38","66","410","10.8","39","0","1","0","0","0","0","12","87.0","7.3","53.7%"
"82","Marquez Valdes-Scantling (KC)","26","55","430","16.5","75","0","3","0","0","0","0","11","87.0","7.9","36.0%"
"83","DeAndre Carter (LAC)","24","44","296","12.3","26","0","3","10","89","0","0","17","86.5","5.1","1.8%"
"84","Freddie Swain (SEA)","25","40","343","13.7","68","0","4","5","32","0","0","17","86.5","5.1","0.7%"
"85","Jerry Jeudy (DEN)","38","56","467","12.3","40","0","0","2","3","0","0","10","85.0","8.5","65.4%"
"86","Henry Ruggs III (FA)","24","36","469","19.5","61","0","2","3","16","0","0","7","84.5","12.1","10.9%"
"87","Nico Collins (HOU)","33","60","446","13.5","32","0","1","0","0","0","0","14","83.6","6.0","1.8%"
"88","Laquon Treadwell (JAC)","33","51","434","13.2","41","0","1","0","0","0","0","12","82.4","6.9","2.5%"
"89","Kadarius Toney (NYG)","39","57","420","10.8","38","0","0","3","6","0","0","9","82.4","9.2","21.6%"
"90","Jauan Jennings (SF)","24","38","282","11.8","34","0","5","0","0","0","0","13","82.2","6.3","0.6%"
"91","Josh Reynolds (DET)","29","49","396","13.7","39","0","2","0","0","0","0","11","80.6","7.3","6.9%"
"92","Julio Jones (FA)","31","48","434","14.0","51","0","1","0","0","0","0","10","80.4","8.0","60.7%"
"93","Adam Humphries (WAS)","41","62","383","9.3","27","0","0","0","0","0","0","17","79.3","4.7","0.8%"
"94","Keelan Cole Sr. (NYJ)","28","51","449","16.0","54","0","1","0","0","0","0","14","78.9","5.6","1.0%"
"95","Jalen Reagor (PHI)","33","57","299","9.1","34","0","2","10","32","0","0","17","78.1","4.6","13.3%"
"96","Sterling Shepard (NYG)","36","53","366","10.2","37","0","1","1","-9","0","0","7","77.7","11.1","23.7%"
"97","Devin Duvernay (BAL)","33","47","272","8.2","21","0","2","7","50","0","0","16","77.2","4.8","1.4%"
"98","Jamal Agnew (JAC)","24","39","229","9.5","29","0","1","7","111","1","0","12","76.0","6.3","1.2%"
"99","DeSean Jackson (LV)","20","34","454","22.7","75","0","2","1","4","0","1","14","75.8","5.4","4.4%"
"100","T.Y. Hilton (IND)","23","37","331","14.4","52","0","3","0","0","0","0","10","74.1","7.4","16.8%"
"101","Tyler Johnson (TB)","36","55","360","10.0","31","0","0","0","0","0","0","16","72.0","4.5","4.7%"
"102","Calvin Ridley (ATL)","31","52","281","9.1","22","0","2","0","0","0","0","5","71.1","14.2","56.8%"
"103","Sammy Watkins (BAL)","27","49","394","14.6","49","0","1","0","0","0","1","11","70.4","6.4","7.0%"
"104","Demarcus Robinson (LV)","25","41","264","10.6","33","0","3","0","0","0","0","15","69.4","4.6","0.8%"
"105","Danny Amendola (HOU)","24","38","248","10.3","39","0","3","0","0","0","0","8","68.8","8.6","0.1%"
"106","Darius Slayton (NYG)","26","58","339","13.0","42","0","2","1","-13","0","1","13","68.6","5.3","4.3%"
"107","Ray-Ray McCloud (SF)","39","66","277","7.1","24","0","0","2","15","0","1","16","66.2","4.1","1.0%"
"108","James Washington (DAL)","24","44","285","11.9","42","0","2","2","13","0","0","15","65.8","4.4","1.5%"
"109","Chester Rogers (TEN)","30","43","301","10.0","39","0","1","1","9","0","1","16","65.0","4.1","0.6%"
"110","Damiere Byrd (ATL)","26","38","329","12.7","54","0","1","0","0","0","1","11","64.9","5.9","0.1%"
"111","Chris Conley (HOU)","22","37","323","14.7","41","0","2","1","3","0","1","14","64.6","4.6","0.4%"
"112","Mack Hollins (LV)","14","28","223","15.9","65","0","4","0","0","0","0","16","60.3","3.8","0.2%"
"113","Antoine Wesley (ARI)","19","32","208","10.9","33","0","3","0","0","0","0","8","57.8","7.2","0.3%"
"114","Rashard Higgins (CAR)","24","47","275","11.5","21","0","1","0","0","0","0","12","57.5","4.8","0.7%"
"115","Marquise Goodwin (CHI)","20","40","313","15.7","50","0","1","2","-1","0","0","14","57.2","4.1","0.3%"
"116","Chris Moore (HOU)","21","22","227","10.8","67","0","2","0","0","0","0","10","55.7","5.6","0.1%"
"117","Isaiah McKenzie (BUF)","20","26","178","8.9","28","0","1","9","47","1","1","15","52.5","3.5","5.5%"
"118","Tavon Austin (JAC)","24","38","213","8.9","25","0","1","3","21","0","1","12","51.4","4.3","0.1%"
"119","Lil'Jordan Humphrey (NO)","13","18","249","19.2","56","0","2","0","0","0","0","8","49.9","6.2","0.2%"
"120","Quintez Cephus (DET)","15","22","204","13.6","46","0","2","0","0","0","0","5","49.4","9.9","0.8%"
"121","Brandon Zylstra (CAR)","18","25","250","13.9","55","0","1","0","0","0","0","12","49.0","4.1","0.1%"
"122","Cam Sims (WAS)","15","23","211","14.1","43","0","2","1","7","0","0","12","48.8","4.1","0.1%"
"123","Tajae Sharpe (ATL)","25","37","230","9.2","17","0","0","0","0","0","0","14","48.0","3.4","1.1%"
"124","Albert Wilson (MIA)","25","39","213","8.5","64","0","0","4","17","0","0","10","48.0","4.8","0.8%"
"125","Ashton Dulin (IND)","13","22","173","13.3","62","0","2","3","32","0","0","16","45.5","2.8","0.1%"
"126","Malik Turner (SF)","12","16","149","12.4","61","0","3","0","0","0","0","7","44.9","6.4","0.1%"
"127","Cyril Grayson Jr. (TB)","10","12","212","21.2","62","0","2","1","14","0","0","3","44.6","14.9","2.8%"
"128","John Ross (NYG)","11","20","224","20.4","51","0","1","1","16","0","0","9","41.0","4.6","0.1%"
"129","Isaiah Ford (MIA)","12","16","161","13.4","52","0","2","0","0","0","0","9","40.1","4.5","0.0%"
"130","Jakeem Grant Sr. (CLE)","11","17","132","12.0","46","0","2","5","33","0","3","15","39.5","2.6","1.2%"
"131","Kendall Hinton (DEN)","15","23","175","11.7","40","0","1","0","0","0","0","11","38.5","3.5","0.1%"
"132","James Proche II (BAL)","16","20","202","12.6","32","0","0","0","0","0","0","7","36.2","5.2","0.0%"
"133","JuJu Smith-Schuster (KC)","15","28","129","8.6","24","0","0","3","9","1","0","5","34.8","7.0","18.5%"
"134","Greg Ward (PHI)","7","11","95","13.6","27","0","3","0","0","0","0","10","34.6","3.5","0.1%"
"135","D.J. Chark Jr. (DET)","7","22","154","22.0","41","0","2","0","0","0","0","3","34.4","11.5","17.9%"
"136","Noah Brown (DAL)","16","25","184","11.5","27","0","0","0","0","0","0","10","34.4","3.4","0.1%"
"137","Anthony Schwartz (CLE)","10","23","135","13.5","44","0","1","6","39","0","0","13","33.4","2.6","0.3%"
"138","Breshad Perriman (TB)","11","18","167","15.2","58","0","1","1","-3","0","0","5","33.4","6.7","2.5%"
"139","Terrace Marshall Jr. (CAR)","17","30","138","8.1","23","0","0","0","0","0","0","12","32.8","2.7","3.0%"
"140","Mohamed Sanu Sr. (SF)","15","24","177","11.8","21","0","0","0","0","0","0","8","32.7","4.1","0.1%"
"141","Parris Campbell (IND)","10","20","162","16.2","51","0","1","0","0","0","0","6","32.2","5.4","4.5%"
"142","KhaDarel Hodge (ATL)","13","27","157","12.1","42","0","0","0","0","0","0","12","30.7","2.6","0.1%"
"143","Ihmir Smith-Marsette (MIN)","5","6","116","23.2","44","0","2","0","0","0","0","6","28.6","4.8","0.1%"
"144","N'Keal Harry (NE)","12","22","184","15.3","43","0","0","0","0","0","1","10","28.4","2.8","0.2%"
"145","D'Wayne Eskridge (SEA)","10","20","64","6.4","17","0","1","4","59","0","0","8","28.3","3.5","0.6%"
"146","Dyami Brown (WAS)","12","25","165","13.8","48","0","0","1","-4","0","0","10","28.1","2.8","0.4%"
"147","Dante Pettis (NYG)","10","16","87","8.7","27","0","1","0","0","0","0","3","25.3","8.4","0.1%"
"148","Marcus Johnson (SF)","9","19","160","17.8","50","0","0","2","-2","0","0","7","24.8","3.5","0.6%"
"149","Ben Skowronek (LAR)","11","20","133","12.1","35","0","0","0","0","0","0","12","24.3","2.0","0.1%"
"150","Trent Sherfield (MIA)","9","20","87","9.7","18","0","1","0","0","0","0","12","23.7","2.0","0.1%"
"151","Jody Fortson (KC)","5","5","47","9.4","27","0","2","0","0","0","0","4","21.7","5.4","0.0%"
"152","Collin Johnson (NYG)","11","21","105","9.5","16","0","0","0","0","0","0","8","21.5","2.7","0.1%"
"153","Denzel Mims (NYJ)","8","23","133","16.6","40","0","0","0","0","0","0","10","21.3","2.1","0.7%"
"154","Trinity Benson (DET)","10","22","103","10.3","24","0","0","0","0","0","0","7","20.3","2.9","0.0%"
"155","Kristian Wilkerson (NE)","4","8","42","10.5","20","0","2","0","0","0","0","1","20.2","20.2","0.1%"
"156","Equanimeous St. Brown (CHI)","9","17","98","10.9","26","0","0","3","14","0","0","12","20.2","1.7","0.1%"
"157","Jeff Smith (NYJ)","8","17","113","14.1","35","0","0","1","-1","0","0","9","19.2","2.1","0.0%"
"158","Scotty Miller (TB)","5","9","38","7.6","13","0","0","2","43","1","0","6","19.1","3.2","0.7%"
"159","Kenny Stills (NO)","6","23","68","11.3","22","0","1","1","1","0","0","7","18.9","2.7","0.1%"
"160","Tom Kennedy (DET)","6","10","54","9.0","15","0","0","0","0","0","0","7","18.4","2.6","0.0%"
"161","Phillip Dorsett II (HOU)","7","14","110","15.7","36","0","0","1","0","0","0","5","18.0","3.6","0.0%"
"162","Dede Westbrook (MIN)","10","15","68","6.8","17","0","0","0","0","0","0","15","16.8","1.1","0.1%"
"163","Shi Smith (CAR)","6","11","104","17.3","63","0","0","1","-3","0","0","5","16.1","3.2","0.1%"
"164","Dez Fitzpatrick (TEN)","5","8","49","9.8","18","0","1","0","0","0","0","3","15.9","5.3","0.1%"
"165","Dax Milne (WAS)","9","14","83","9.2","22","0","0","1","1","0","1","9","15.4","1.7","0.0%"
"166","Anthony Miller (PIT)","6","12","25","4.2","10","0","1","0","0","0","0","3","14.5","4.8","0.3%"
"167","Josh Gordon (KC)","5","14","32","6.4","11","0","1","0","0","0","0","9","14.2","1.6","1.8%"
"168","Chris Hogan (FA)","4","8","41","10.3","16","0","1","0","0","0","0","5","14.1","2.8","0.0%"
"169","Preston Williams (MIA)","6","16","71","11.8","34","0","0","1","7","0","0","6","13.8","2.3","0.1%"
"170","Auden Tate (ATL)","3","4","39","13.0","18","0","1","0","0","0","0","4","12.9","3.2","0.1%"
"171","Penny Hart (SEA)","7","12","59","8.4","16","0","0","0","0","0","0","12","12.9","1.1","0.0%"
"172","KJ Hamler (DEN)","5","10","74","14.8","28","0","0","0","0","0","0","3","12.4","4.1","0.8%"
"173","Juwann Winfree (GB)","8","13","58","7.3","12","0","0","0","0","0","1","5","11.8","2.4","0.0%"
